0,32.491905212,-86.453689575,32.470832825,-86.451705933,M,S1200,N Memorial Dr,AL,Y,722.87,170.408,[[-86.453689,32.491906],[-86.45362399999999,32.491445999999996],[-86.453582,32.491079],[-86.45357399999999,32.490643],[-86.45355699999999,32.490054],[-86.453555,32.489990999999996],[-86.453555,32.489703],[-86.453561,32.48934],[-86.453566,32.489053999999996],[-86.45355699999999,32.488549],[-86.45357,32.487319],[-86.453564,32.486742],[-86.45353999999999,32.486092],[-86.453498,32.485732],[-86.45343,32.485397],[-86.45339199999998,32.485208],[-86.45327499999999,32.484814],[-86.453203,32.48460599999999],[-86.45306699999999,32.484265],[-86.45294499999999,32.483993999999996],[-86.45274399999998,32.483598],[-86.452533,32.483128],[-86.45209799999999,32.482185],[-86.451909,32.481702999999996],[-86.45186499999998,32.48147399999999],[-86.45183299999998,32.48124299999999],[-86.45182199999999,32.481114999999996],[-86.45181699999999,32.480921999999985],[-86.451818,32.480869999999996],[-86.45182199999999,32.480741],[-86.451833,32.479934],[-86.451878,32.479486],[-86.451912,32.479268999999995],[-86.45194,32.478904],[-86.451976,32.478099],[-86.452007,32.47757],[-86.452027,32.476988999999996],[-86.45204199999999,32.476771],[-86.452044,32.476497],[-86.452007,32.475906],[-86.451976,32.475297999999995],[-86.451966,32.47504],[-86.451944,32.474677],[-86.45192,32.47403],[-86.451882,32.473509],[-86.45185099999999,32.472608],[-86.451825,32.472329],[-86.451741,32.471182999999996],[-86.451707,32.470832]]
1,32.470832825,-86.451705933,32.464683533,-86.450706482,M,S1200,N Memorial Dr,AL,Y,211.08,158.667,[[-86.451707,32.470832],[-86.451658,32.470785],[-86.45160299999999,32.47043],[-86.45152,32.469944999999996],[-86.451454,32.469648],[-86.450959,32.467298],[-86.45090599999999,32.467084],[-86.450834,32.466667],[-86.450817,32.466364999999996],[-86.45079199999999,32.466080999999996],[-86.450751,32.465727],[-86.45071799999998,32.465423],[-86.45070899999999,32.465113999999986],[-86.450711,32.464919],[-86.450707,32.464683]]
2,30.516355515,-87.886161804,30.513616562,-87.886154175,M,S1200,N Greeno Rd,AL,Y,92.83,118.667,[[-87.886163,30.516356],[-87.886153,30.515662],[-87.886153,30.513617]]
3,31.877977371,-85.449661255,31.879264832,-85.449653625,M,S1200,N Midway St,AL,Y,43.59,71.200,[[-85.44965999999998,31.877977999999988],[-85.449651,31.878345999999997],[-85.449649,31.878406],[-85.449649,31.878528],[-85.449652,31.879264]]
