"0","32.491905212","-86.453689575","32.470832825","-86.451705933"," M"," S1200"," N Memorial Dr","AL","Y","722.87","170.408","[[""-86.453689"",""32.491906""],[""-86.45362399999999"",""32.491445999999996""],[""-86.453582"",""32.491079""],[""-86.45357399999999"",""32.490643""],[""-86.45355699999999"",""32.490054""],[""-86.453555"",""32.489990999999996""],[""-86.453555"",""32.489703""],[""-86.453561"",""32.48934""],[""-86.453566"",""32.489053999999996""],[""-86.45355699999999"",""32.488549""],[""-86.45357"",""32.487319""],[""-86.453564"",""32.486742""],[""-86.45353999999999"",""32.486092""],[""-86.453498"",""32.485732""],[""-86.45343"",""32.485397""],[""-86.45339199999998"",""32.485208""],[""-86.45327499999999"",""32.484814""],[""-86.453203"",""32.48460599999999""],[""-86.45306699999999"",""32.484265""],[""-86.45294499999999"",""32.483993999999996""],[""-86.45274399999998"",""32.483598""],[""-86.452533"",""32.483128""],[""-86.45209799999999"",""32.482185""],[""-86.451909"",""32.481702999999996""],[""-86.45186499999998"",""32.48147399999999""],[""-86.45183299999998"",""32.48124299999999""],[""-86.45182199999999"",""32.481114999999996""],[""-86.45181699999999"",""32.480921999999985""],[""-86.451818"",""32.480869999999996""],[""-86.45182199999999"",""32.480741""],[""-86.451833"",""32.479934""],[""-86.451878"",""32.479486""],[""-86.451912"",""32.479268999999995""],[""-86.45194"",""32.478904""],[""-86.451976"",""32.478099""],[""-86.452007"",""32.47757""],[""-86.452027"",""32.476988999999996""],[""-86.45204199999999"",""32.476771""],[""-86.452044"",""32.476497""],[""-86.452007"",""32.475906""],[""-86.451976"",""32.475297999999995""],[""-86.451966"",""32.47504""],[""-86.451944"",""32.474677""],[""-86.45192"",""32.47403""],[""-86.451882"",""32.473509""],[""-86.45185099999999"",""32.472608""],[""-86.451825"",""32.472329""],[""-86.451741"",""32.471182999999996""],[""-86.451707"",""32.470832""]]"
"1","32.470832825","-86.451705933","32.464683533","-86.450706482"," M"," S1200"," N Memorial Dr","AL","Y","211.08","158.667","[[""-86.451707"",""32.470832""],[""-86.451658"",""32.470785""],[""-86.45160299999999"",""32.47043""],[""-86.45152"",""32.469944999999996""],[""-86.451454"",""32.469648""],[""-86.450959"",""32.467298""],[""-86.45090599999999"",""32.467084""],[""-86.450834"",""32.466667""],[""-86.450817"",""32.466364999999996""],[""-86.45079199999999"",""32.466080999999996""],[""-86.450751"",""32.465727""],[""-86.45071799999998"",""32.465423""],[""-86.45070899999999"",""32.465113999999986""],[""-86.450711"",""32.464919""],[""-86.450707"",""32.464683""]]"
"2","30.516355515","-87.886161804","30.513616562","-87.886154175"," M"," S1200"," N Greeno Rd","AL","Y","92.83","118.667","[[""-87.886163"",""30.516356""],[""-87.886153"",""30.515662""],[""-87.886153"",""30.513617""]]"
"3","31.877977371","-85.449661255","31.879264832","-85.449653625"," M"," S1200"," N Midway St","AL","Y","43.59","71.200","[[""-85.44965999999998"",""31.877977999999988""],[""-85.449651"",""31.878345999999997""],[""-85.449649"",""31.878406""],[""-85.449649"",""31.878528""],[""-85.449652"",""31.879264""]]"
"4","34.229766846","-85.605461121","34.235332489","-85.603431702"," M"," S1200"," N Weiss Lake Dr","AL","Y","196.95","13.636","[[""-85.605462"",""34.229766999999995""],[""-85.60542499999998"",""34.22988""],[""-85.60531999999999"",""34.23016899999999""],[""-85.60496999999998"",""34.231138""],[""-85.60494199999998"",""34.231215999999996""],[""-85.60468399999999"",""34.231905999999995""],[""-85.60443899999999"",""34.232600999999995""],[""-85.60384499999999"",""34.23421199999999""],[""-85.60376699999999"",""34.234408""],[""-85.60370299999998"",""34.234595999999996""],[""-85.60343499999999"",""34.235330999999995""]]"
"5","31.318391800","-85.857223511","31.320545197","-85.858840942"," M"," S1200"," N Main St","AL","Y","86.79","243.750","[[""-85.857221"",""31.318391""],[""-85.857582"",""31.318865""],[""-85.858735"",""31.32041""],[""-85.85884"",""31.320546""]]"
"6","31.385915756","-85.929428101","31.391584396","-85.923782349"," M"," S1200"," N John St","AL","Y","252.26","36.429","[[""-85.929431"",""31.385915999999998""],[""-85.92856499999999"",""31.386741999999998""],[""-85.9281"",""31.387169999999998""],[""-85.928038"",""31.387227""],[""-85.92769899999999"",""31.387552999999997""],[""-85.92754"",""31.387701""],[""-85.92723699999999"",""31.387982999999988""],[""-85.927008"",""31.388206""],[""-85.92659999999998"",""31.388617999999997""],[""-85.92645999999999"",""31.388759""],[""-85.92563499999999"",""31.38962599999999""],[""-85.92418599999999"",""31.39114999999999""],[""-85.924069"",""31.39128099999999""],[""-85.92378599999999"",""31.39158499999999""]]"
"7","34.779720306","-87.669906616","34.780418396","-87.670196533"," M"," S1200"," N Jackson Hwy","AL","Y","24.97","225.333","[[""-87.66990699999998"",""34.77971999999999""],[""-87.67018899999998"",""34.78039799999999""],[""-87.67019799999998"",""34.780416999999986""]]"
"8","34.777961731","-87.669227600","34.779720306","-87.669906616"," M"," S1200"," N Jackson Hwy","AL","Y","62.53","170.000","[[""-87.66922599999998"",""34.777961999999995""],[""-87.66990699999998"",""34.77971999999999""]]"
"9","33.063713074","-86.053947449","33.065746307","-86.053627014"," M"," S1200"," N Main St","AL","Y","70.01","7.800","[[""-86.053946"",""33.063713""],[""-86.05388599999999"",""33.064543""],[""-86.05385599999998"",""33.06491599999999""],[""-86.05384599999998"",""33.06504199999999""],[""-86.05383999999998"",""33.065091999999986""],[""-86.05382899999998"",""33.065182""],[""-86.05379999999998"",""33.065318999999995""],[""-86.053735"",""33.065522""],[""-86.05367599999998"",""33.065653999999995""],[""-86.05362599999998"",""33.06574799999999""]]"
